-38.03	Yaw : -3.82	Label : 3
Roll : 11.67	Pitch : -74.69	Yaw : -4.26	Label : 3
Roll : 11.57	Pitch : -74.58	Yaw : -4.27	Label : 3
Roll : 11.61	Pitch : -74.81	Yaw : -4.42	Label : 3
Roll : 12.07	Pitch : -74.91	Yaw : -4.54	Label : 3
Roll : 11.83	Pitch : -74.92	Yaw : -4.43	Label : 3
Roll : 12.07	Pitch : -74.86	Yaw : -4.57	Label : 3
Roll : 12.13	Pitch : -75.13	Yaw : -4.51	Label : 3
Roll : 11.98	Pitch : -75.17	Yaw : -4.40	Label : 3
Roll : 12.19	Pitch : -75.51	Yaw : -4.38	Label : 3
Roll : 12.43	Pitch : -75.31	Yaw : -5.03	Label : 3
Roll : 13.08	Pitch : -75.23	Yaw : -5.13	Label : 3
Roll : 12.87	Pitch : -75.25	Yaw : -4.93	Label : 3
Roll : 12.77	Pitch : -75.61	Yaw : -4.78	Label : 3
Roll : 12.75	Pitch : -75.23	Yaw : -4.83	Label : 3
Roll : 12.87	Pitch : -75.05	Yaw : -4.77	Label : 3
Roll : 12.74	Pitch : -75.23	Yaw : -4.75	Label : 3
Roll : 12.74	Pitch : -75.31	Yaw : -4.83	Label : 3
Roll : 12.72	Pitch : -75.22	Yaw : -4.81	Label : 3
Roll : 12.49	Pitch : -75.00	Yaw : -4.75	Label : 3
Roll : 12.87	Pitch : -74.30	Yaw : -5.08	Label : 3
Roll : 12.42	Pitch : -74.22	Yaw : -4.79	Label : 3
Roll : 12.60	Pitch : -73.91	Yaw : -4.89	Label : 3
Roll : 12.36	Pitch : -73.51	Yaw : -4.76	Label : 3
Roll : 12.46	Pitch : -72.99	Yaw : -4.73	Label : 3
Roll : 12.25	Pitch : -72.90	Yaw : -4.72	Label : 3
Roll : 12.16	Pitch : -72.43	Yaw : -4.86	Label : 3
Roll : 12.52	Pitch : -72.26	Yaw : -4.96	Label : 3
Roll : 12.51	Pitch : -72.06	Yaw : -5.04	Label : 3
Roll : 12.67	Pitch : -71.85	Yaw : -4.97	Label : 3
Roll : 12.57	Pitch : -71.75	Yaw : -4.96	Label : 3
Roll : 12.40	Pitch : -72.32	Yaw : -4.83	Label : 3
Roll : 12.51	Pitch : -71.76	Yaw : -4.93	Label : 3
Roll : 12.11	Pitch : -72.25	Yaw : -4.85	Label : 3
Roll : 12.54	Pitch : -72.03	Yaw : -4.98	Label : 3
Roll : 12.35	Pitch : -72.32	Yaw : -4.93	Label : 3
Roll : 12.66	Pitch : -72.11	Yaw : -4.98	Label : 3
Roll : 12.36	Pitch : -71.67	Yaw : -4.94	Label : 3
Roll : 12.27	Pitch : -72.08	Yaw : -4.87	Label : 3
Roll : 12.63	Pitch : -71.36	Yaw : -5.01	Label : 3
Roll : 12.54	Pitch : -71.54	Yaw : -4.96	Label : 3
Roll : 12.65	Pitch : -70.88	Yaw : -5.06	Label : 3
Roll : 12.77	Pitch : -70.66	Yaw : -5.07	Label : 3
Roll : 12.84	Pitch : -70.22	Yaw : -4.84	Label : 3
